date_range_start,county,type,month_count
2019-01,17011,supermarket,996
2019-01,17013,supermarket,91
2019-01,17015,supermarket,510
2019-01,17017,supermarket,383
2019-01,17019,supermarket,6889
2019-01,17021,supermarket,1263
2019-01,17023,supermarket,238
2019-01,17025,supermarket,508
2019-01,17027,supermarket,2135
2019-01,17029,supermarket,1248
2019-01,17031,supermarket,284452
2019-01,17033,supermarket,358
2019-01,17035,supermarket,269
2019-01,17037,supermarket,4321
2019-01,17039,supermarket,1109
2019-01,17041,supermarket,688
2019-01,17043,supermarket,46455
2019-01,17045,supermarket,334
2019-01,17047,supermarket,246
2019-01,17049,supermarket,1215
2019-01,17051,supermarket,614
2019-01,17053,supermarket,685
2019-01,17055,supermarket,1526
2019-01,17057,supermarket,1234
2019-01,17059,supermarket,118
2019-01,17061,supermarket,303
2019-01,17063,supermarket,3311
2019-01,17065,supermarket,168
2019-01,17067,supermarket,422
2019-01,17069,supermarket,117
2019-01,17071,supermarket,192
2019-01,17073,supermarket,1682
2019-01,17075,supermarket,1114
2019-01,17077,supermarket,1700
2019-01,17079,supermarket,340
2019-01,17081,supermarket,1108
2019-01,17083,supermarket,464
2019-01,17085,supermarket,593
2019-01,17087,supermarket,351
2019-01,17089,supermarket,23148
2019-01,17091,supermarket,5254
2019-01,17093,supermarket,8195
2019-01,17095,supermarket,1570
2019-01,17097,supermarket,33757
2019-01,17099,supermarket,4450
2019-01,17101,supermarket,273
2019-01,17103,supermarket,1170
2019-01,17105,supermarket,1259
2019-01,17107,supermarket,763
2019-01,17109,supermarket,681
2019-01,17111,supermarket,14685
2019-01,17113,supermarket,8882
2019-01,17115,supermarket,3341
2019-01,17117,supermarket,1295
2019-01,17119,supermarket,11318
2019-01,17121,supermarket,1839
2019-01,17123,supermarket,209
2019-01,17125,supermarket,520
2019-01,17127,supermarket,755
2019-01,17129,supermarket,513
2019-01,17131,supermarket,668
2019-01,17133,supermarket,1534
2019-01,17135,supermarket,437
2019-01,17137,supermarket,804
2019-01,17139,supermarket,379
2019-01,17141,supermarket,2548
